method,intra_cor,imp_V0,imp_V1
0.5*CPI,0.05,3.102418830201647,1.0575320197859217
0.5*CPI,0.1,3.9471270792779944,0.4928883711041069
0.5*CPI,0.2,3.915380435609338,0.9649043157216622
0.5*CPI,0.3,4.899348842563192,0.9387431044352483
0.5*CPI,0.5,2.8409911432733126,0.7059182692513258
0.5*CPI,0.65,3.777817571435634,0.944790181147432
0.5*CPI,0.85,1.0749506894655512,0.31149462502074327
PFI,0.0,3.1852781804688113,1.0611933146225565
PFI,0.05,2.4907925710522965,1.454167393203056
PFI,0.1,2.809513986758995,0.9927053575979584
PFI,0.2,2.798204101697118,1.389029958505789
PFI,0.3,3.1355389299743077,1.3718553959121478
PFI,0.5,2.69343606591467,1.3475207469395787
PFI,0.65,2.793827349920351,1.4830159796234623
PFI,0.85,2.592860396600353,1.416777286853757
LOCO-W,0.0,2.9653779886506255,0.492772065039625
LOCO-W,0.05,2.202081338329128,1.2095245528164829
LOCO-W,0.1,2.2361741227239933,0.3149179712520761
LOCO-W,0.2,2.121280581827706,0.4981484465539007
LOCO-W,0.3,3.2348597378247645,0.7824462649720441
LOCO-W,0.5,2.0232922905189485,0.17587993496661194
LOCO-W,0.65,0.9594214512762798,0.18752915172050372
LOCO-W,0.85,0.33533555753480915,0.046513631046168125
LOCO-HD,0.0,5.100278374704809,0.8520696345057197
LOCO-HD,0.05,3.9814616403535426,1.1697349863969628
LOCO-HD,0.1,5.276032642235942,0.7776136529206843
LOCO-HD,0.2,3.0885034239729174,0.9628130452373284
LOCO-HD,0.3,4.13520036806334,1.1483551366062668
LOCO-HD,0.5,2.5449763682687854,0.5535329532160707
LOCO-HD,0.65,3.5905166774311796,0.7100206180267552
LOCO-HD,0.85,1.5013795257403644,0.3993155057086972
Robust-CPI,0.0,4.120310143947403,0.8750480045289547
Robust-CPI,0.05,4.044024669176662,1.205048092075199
Robust-CPI,0.1,4.969500309538018,0.7543569635915278
Robust-CPI,0.2,3.0559037247518313,0.9126932221465801
Robust-CPI,0.3,4.014732883847882,1.0552786039443143
Robust-CPI,0.5,2.3650967885606256,0.5791133627166747
Robust-CPI,0.65,3.5069193227235766,0.7470314703224158
Robust-CPI,0.85,1.1330335014408033,0.29626423628019255
0.5*CPI,0.0,3.9858835577467238,0.8753226938591627
0.5*CPI,0.05,2.795609059441503,0.7301324350943611
0.5*CPI,0.1,2.467106485094211,1.0123627070626946
0.5*CPI,0.2,5.531812089086214,0.9628911437561379
0.5*CPI,0.3,3.661853252960487,0.720396492039776
0.5*CPI,0.5,2.6038191690001264,0.6245947950210152
0.5*CPI,0.65,2.0398772659317177,0.5970409622552031
0.5*CPI,0.85,0.8143686563221044,0.13393689514831242
PFI,0.0,2.823318257325184,1.3230060290253391
PFI,0.05,2.625429719268369,1.332711627303322
PFI,0.1,2.2212148530683025,1.43932993998901
PFI,0.2,3.3260782292832283,1.38760114686983
PFI,0.3,2.8822760395275036,1.35486343723848
PFI,0.5,3.1476817290623194,1.5239110278227108
PFI,0.65,2.4280062582808406,1.3553978840312377
PFI,0.85,3.3200640037028535,1.50267146521256
LOCO-W,0.0,3.187527750950456,0.47375229902853194
LOCO-W,0.05,1.4064153815633778,0.28165177819098564
LOCO-W,0.1,2.5282830481694676,0.5200568625996477
LOCO-W,0.2,2.9589220107686867,0.4829523719692296
LOCO-W,0.3,1.8282715310770332,0.6831599748913544
LOCO-W,0.5,2.682171037091568,0.19750383204107347
LOCO-W,0.65,1.922979365790467,0.17822575434337376
LOCO-W,0.85,0.4681062075537918,0.08172548984503618
LOCO-HD,0.0,3.768726039184862,0.9329623462227867
LOCO-HD,0.05,3.3416068684832094,0.7305646690790333
LOCO-HD,0.1,2.9278836759365108,1.0170165295687958
LOCO-HD,0.2,4.74291947119442,1.185297264863714
LOCO-HD,0.3,3.38902948571927,0.7355585454213978
LOCO-HD,0.5,2.7317181434226354,0.7248025310573332
LOCO-HD,0.65,2.5751353874535634,0.764260981303582
LOCO-HD,0.85,0.7494644238514351,0.1367225042944037
Robust-CPI,0.0,3.7536940149554443,0.8652151547565793
Robust-CPI,0.05,2.9587312302853266,0.6741678617033613
Robust-CPI,0.1,2.8865145149512963,0.9141546296608278
Robust-CPI,0.2,4.45992995064631,1.1923735340337105
Robust-CPI,0.3,3.416168731282049,0.7285617442213488
Robust-CPI,0.5,2.600496881551828,0.7064413889916338
Robust-CPI,0.65,2.6205289503524645,0.7640319250729163
Robust-CPI,0.85,0.7413936509223898,0.14145754745835448
0.5*CPI,0.0,4.3571771836482815,1.3399266687571667
0.5*CPI,0.05,5.23133231523794,1.2420317056154653
0.5*CPI,0.1,4.593841852159383,0.88788113267797
0.5*CPI,0.2,2.9634578262086713,0.8064823106366599
0.5*CPI,0.3,2.9398162090908313,0.7435807259844934
0.5*CPI,0.5,2.4827238947649723,0.5321197171834225
0.5*CPI,0.65,2.8190833249123433,0.6112241973841128
0.5*CPI,0.85,0.3567503056075322,0.11408987018700667
PFI,0.0,2.9518762263353047,1.6368934572588454
PFI,0.05,3.234476074768475,1.5759630122238262
PFI,0.1,3.0420756744650026,1.3306478406997757
PFI,0.2,2.5449920546116083,1.2698748722269821
PFI,0.3,2.996639482020431,1.5000386213240187
PFI,0.5,2.158243338982081,0.9932494504074095
PFI,0.65,3.154219094416259,1.4789406948892694
PFI,0.85,3.021074201873315,1.686413982630906
LOCO-W,0.0,2.722583437407106,1.6438811257825172
LOCO-W,0.05,2.9773584033532456,0.6893813731792753
LOCO-W,0.1,3.178800701075802,0.8347347257737081
LOCO-W,0.2,2.1237565311629134,0.58724484159736
LOCO-W,0.3,2.2673200889912257,0.42204975912362414
LOCO-W,0.5,2.9398924347910724,-0.3099828734675585
LOCO-W,0.65,0.9191204013270589,0.3935807458409677
LOCO-W,0.85,0.314760660001844,0.11798280243813225
LOCO-HD,0.0,4.671407776758,1.3326445917998808
LOCO-HD,0.05,5.30039656869267,1.3584058218867092
LOCO-HD,0.1,4.698319416897707,0.9624454462159414
LOCO-HD,0.2,3.8262002062396614,0.854755932672498
LOCO-HD,0.3,2.3285939298259364,0.6277457424187216
LOCO-HD,0.5,2.1390599134170567,0.6311782319866294
LOCO-HD,0.65,2.536620376627558,0.5736725230966356
LOCO-HD,0.85,0.7308386799436719,0.20753677883177324
Robust-CPI,0.0,4.396854206934873,1.3710646875562993
Robust-CPI,0.05,5.0247704665382,1.1065535111274258
Robust-CPI,0.1,4.519147047792118,0.9526481396959252
Robust-CPI,0.2,3.9349164090823527,0.8916729081236183
Robust-CPI,0.3,2.40190634134112,0.6223325690759334
Robust-CPI,0.5,2.0469858682119253,0.6011463226857672
Robust-CPI,0.65,2.5800261528620285,0.6000033000874639
Robust-CPI,0.85,0.663506935054797,0.18199408835207828
0.5*CPI,0.0,3.4838912790578114,1.5000689536638996
0.5*CPI,0.05,3.3253319761901734,1.0885602934047167
0.5*CPI,0.1,4.249010080172223,0.8929993920368327
0.5*CPI,0.2,2.8332499767685286,0.8908817935802755
0.5*CPI,0.3,2.123285161529353,0.734196836871231
0.5*CPI,0.5,2.9222388095724363,0.6821826276918564
0.5*CPI,0.65,1.8037067984714854,0.633621274053758
0.5*CPI,0.85,0.8535130918935739,0.24438149773486884
PFI,0.0,2.6394951642239532,1.7319300192326583
PFI,0.05,2.5787190340721717,1.4753378064220044
PFI,0.1,2.915016221719498,1.3362924915577685
PFI,0.2,2.458059461854714,1.3783905730855954
PFI,0.3,2.1024101723710924,1.2359326931835077
PFI,0.5,3.1382821730748334,1.5249127778598617
PFI,0.65,2.718091704975764,1.4686359056148623
PFI,0.85,2.679197106596799,1.421691468890895
LOCO-W,0.0,1.6789835812026224,0.6050193927703916
LOCO-W,0.05,2.380648581240017,0.6932372597862855
LOCO-W,0.1,1.7558372903672144,0.39374138755275623
LOCO-W,0.2,2.1695266688266837,0.4318156556033437
LOCO-W,0.3,2.245155452301987,0.4172720758363212
LOCO-W,0.5,1.5816916479836676,0.5803292986216644
LOCO-W,0.65,2.6128863959321973,0.20048686947218639
LOCO-W,0.85,0.7612620459952933,0.3001721014417725
LOCO-HD,0.0,3.2881683758493825,1.272624099268037
LOCO-HD,0.05,3.1930425973736085,1.3324349254577157
LOCO-HD,0.1,4.861065058879718,0.9037216597966378
LOCO-HD,0.2,4.062889641556846,0.8495592659944055
LOCO-HD,0.3,3.0816368529274336,0.7185684294163237
LOCO-HD,0.5,3.8465823474200733,0.7644908066218713
LOCO-HD,0.65,1.5899338466020867,0.6033289809435167
LOCO-HD,0.85,1.1088633052754178,0.2776332300998003
